                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.71901,                0.46717,                 1.0458,                 0.9391,                   0.95,                0.98598,                0.77446,                0.79088,                0.75236,                 1.2501,              0.0082972,              0.0082972,              0.0082972
                     88,                0.69683,                0.46692,                 1.0513,                 0.9391,                   0.95,                0.98598,                0.77446,                0.79088,                0.75236,                 1.2501,              0.0082774,              0.0082774,              0.0082774
                     89,                0.73191,                0.48872,                 1.0913,                      1,                 0.9438,                0.98848,                0.77062,                0.81168,                0.77069,                    1.3,              0.0082576,              0.0082576,              0.0082576
                     90,                0.67503,                0.44081,                 1.0523,                0.95197,                0.99141,                0.99262,                0.76071,                 0.9364,                0.88268,                 1.5642,              0.0082378,              0.0082378,              0.0082378
                     91,                0.75028,                 0.4969,                 1.1112,                 0.8693,                0.99779,                0.96467,                0.75401,                0.82684,                0.96471,                 1.3928,               0.008218,               0.008218,               0.008218
                     92,                0.73267,                0.46193,                  1.109,                 0.8693,                0.99779,                0.96467,                0.75401,                0.82684,                0.96471,                 1.3928,              0.0081982,              0.0081982,              0.0081982
                     93,                0.73069,                0.42995,                 1.0734,                0.86785,                   0.95,                0.97056,                0.76679,                0.87996,                  0.965,                 1.5063,              0.0081784,              0.0081784,              0.0081784
                     94,                0.67133,                0.42733,                 1.0787,                0.89931,                      1,                0.97801,                0.80591,                0.71243,                0.95337,                 1.3307,              0.0081586,              0.0081586,              0.0081586
                     95,                0.64752,                0.40758,                  1.049,                0.82523,                      1,                0.96841,                 0.7738,                 0.8361,                0.72656,                 1.4567,              0.0081388,              0.0081388,              0.0081388
                     96,                0.66982,                0.48281,                 1.0307,                0.82523,                      1,                0.96841,                 0.7738,                 0.8361,                0.72656,                 1.4567,               0.008119,               0.008119,               0.008119
                     97,                0.71378,                0.47544,                  1.066,                0.84354,                0.80906,                0.94996,                0.72951,                0.94487,                0.82379,                  1.725,              0.0080992,              0.0080992,              0.0080992
                     98,                0.78326,                 0.5221,                 1.0683,                      1,                 0.9308,                0.98667,                0.75088,                0.76753,                0.71587,                 1.4419,              0.0080794,              0.0080794,              0.0080794
                     99,                0.65306,                0.44502,                 1.0279,                0.87078,                    0.9,                0.97985,                0.72387,                0.86514,                   1.02,                 1.6497,              0.0080596,              0.0080596,              0.0080596
                    100,                0.67871,                0.47845,                 1.0056,                0.87078,                    0.9,                0.97985,                0.72387,                0.86514,                   1.02,                 1.6497,              0.0080398,              0.0080398,              0.0080398
                    101,                0.68338,                0.48241,                 1.0256,                0.90019,                    0.7,                0.88395,                0.64683,                0.99598,                  1.064,                 1.6809,                0.00802,                0.00802,                0.00802
                    102,                0.71406,                 0.4969,                 1.0745,                0.96178,                    0.9,                0.96596,                0.70109,                0.96102,                0.86702,                 1.6612,              0.0080002,              0.0080002,              0.0080002
                    103,                0.70259,                0.43324,                 1.1008,                0.96747,                   0.85,                0.95062,                0.71972,                0.97028,                 0.8106,                 1.5864,              0.0079804,              0.0079804,              0.0079804
                    104,                0.66728,                0.46521,                 1.0808,                0.96747,                   0.85,                0.95062,                0.71972,                0.97028,                 0.8106,                 1.5864,              0.0079606,              0.0079606,              0.0079606
                    105,                0.67245,                0.45988,                  1.058,                0.95143,                   0.95,                0.96674,                0.67134,                 1.1042,                 0.8044,                 1.7744,              0.0079408,              0.0079408,              0.0079408
                    106,                0.69855,                0.44363,                 1.0648,                0.84978,                   0.95,                0.94248,                0.71433,                0.92973,                0.83119,                 1.4904,               0.007921,               0.007921,               0.007921
                    107,                0.67823,                0.44236,                 1.0782,                 0.8039,                    0.9,                0.94388,                 0.7056,                0.90478,                  1.497,                 1.5224,              0.0079012,              0.0079012,              0.0079012
                    108,                 0.6864,                0.44167,                 1.0591,                 0.8039,                    0.9,                0.94388,                 0.7056,                0.90478,                  1.497,                 1.5224,              0.0078814,              0.0078814,              0.0078814
                    109,                0.66855,                0.47078,                 1.0497,                0.94884,                  0.928,                0.96424,                0.74105,                0.91655,                 1.1108,                 1.5572,              0.0078616,              0.0078616,              0.0078616
                    110,                0.68155,                0.47945,                 1.0803,                0.92166,                   0.85,                 0.9558,                  0.739,                0.94873,                0.94215,                 1.5229,              0.0078418,              0.0078418,              0.0078418
                    111,                0.66114,                0.45395,                 1.0553,                0.90705,                0.97641,                0.98591,                0.76548,                0.85271,                0.64176,                 1.4584,               0.007822,               0.007822,               0.007822
                    112,                0.70857,                0.51956,                 1.0797,                0.90705,                0.97641,                0.98591,                0.76548,                0.85271,                0.64176,                 1.4584,              0.0078022,              0.0078022,              0.0078022
                    113,                0.73018,                0.50355,                 1.0852,                0.83021,                0.97844,                0.96929,                0.69296,                 1.0491,                0.67628,                 1.6394,              0.0077824,              0.0077824,              0.0077824
                    114,                0.73817,                0.46435,                 1.0921,                 0.9058,                0.96194,                0.99045,                0.74264,                 1.0127,                0.57835,                 1.6169,              0.0077626,              0.0077626,              0.0077626
                    115,                0.69151,                0.47203,                 1.0879,                 0.9272,                   0.95,                0.98545,                 0.7289,                0.96565,                0.66421,                 1.5608,              0.0077428,              0.0077428,              0.0077428
                    116,                0.70708,                 0.4794,                 1.0721,                 0.9272,                   0.95,                0.98545,                 0.7289,                0.96565,                0.66421,                 1.5608,               0.007723,               0.007723,               0.007723
                    117,                0.64456,                0.44584,                 1.0614,                0.86512,                0.96248,                0.97895,                 0.7462,                0.93063,                0.72038,                 1.4993,              0.0077032,              0.0077032,              0.0077032
                    118,                0.59433,                0.41669,                0.98159,                0.92425,                    0.9,                0.97522,                0.77717,                0.97026,                  0.662,                 1.6051,              0.0076834,              0.0076834,              0.0076834
                    119,                 0.6917,                0.48201,                 1.0849,                    0.9,                    0.9,                0.96996,                0.78561,                 0.8156,                0.78494,                 1.3355,              0.0076636,              0.0076636,              0.0076636
                    120,                0.61332,                0.43986,                 1.0008,                    0.9,                    0.9,                0.96996,                0.78561,                 0.8156,                0.78494,                 1.3355,              0.0076438,              0.0076438,              0.0076438
                    121,                0.64299,                0.46407,                 1.0684,                0.85713,                   0.95,                0.95454,                0.77024,                0.90033,                0.82201,                 1.4241,               0.007624,               0.007624,               0.007624
                    122,                0.68736,                0.44938,                 1.0553,                0.94802,                0.91235,                0.97698,                0.78878,                0.80938,                 0.6465,                  1.282,              0.0076042,              0.0076042,              0.0076042
                    123,                0.70225,                 0.4536,                 1.0663,                 0.9518,                0.98772,                0.99024,                  0.762,                0.89174,                0.50895,                 1.4485,              0.0075844,              0.0075844,              0.0075844
                    124,                0.59499,                  0.411,                 1.0062,                 0.9518,                0.98772,                0.99024,                  0.762,                0.89174,                0.50895,                 1.4485,              0.0075646,              0.0075646,              0.0075646
                    125,                0.68219,                0.45318,                 1.0681,                0.94699,                0.89351,                0.92163,                0.70372,                0.95406,                0.72093,                 1.5721,              0.0075448,              0.0075448,              0.0075448
                    126,                0.64861,                 0.4217,                 1.0317,                0.98088,                    0.8,                0.89081,                0.65675,                 1.0963,                0.76683,                 1.8691,               0.007525,               0.007525,               0.007525
                    127,                0.62427,                0.42717,                  1.015,                0.87364,                   0.75,                0.85159,                0.60498,                 1.1752,                0.85687,                 1.9911,              0.0075052,              0.0075052,              0.0075052
                    128,                0.58412,                0.42418,                 1.0173,                0.87364,                   0.75,                0.85159,                0.60498,                 1.1752,                0.85687,                 1.9911,              0.0074854,              0.0074854,              0.0074854
